temperature,humidity,id,timestamp
24.6,70.0,1,2025-09-19T17:14:16.730449Z
24.3,70.0,46,2025-09-19T17:19:18.758186Z
24.7,70.0,91,2025-09-19T17:24:21.970772Z
24.5,69.0,136,2025-09-19T17:29:23.719927Z
24.0,69.0,181,2025-09-19T17:34:25.618917Z
24.6,69.0,226,2025-09-19T17:39:27.420455Z
24.1,69.0,269,2025-09-19T18:04:46.080837Z
24.7,71.0,314,2025-09-19T18:09:49.563662Z
24.2,71.0,359,2025-09-19T18:14:52.184808Z
24.7,71.0,404,2025-09-19T18:19:55.125771Z
24.4,71.0,449,2025-09-19T18:24:57.507362Z
24.0,70.0,494,2025-09-19T18:29:59.944837Z
24.5,70.0,538,2025-09-19T18:35:00.349888Z
24.1,71.0,583,2025-09-19T18:40:02.645419Z
24.0,71.0,628,2025-09-19T18:45:05.228074Z
24.9,70.0,673,2025-09-19T18:50:07.997992Z
24.6,69.0,718,2025-09-19T18:55:11.440349Z
24.4,69.0,763,2025-09-19T19:00:14.162040Z
24.3,69.0,807,2025-09-19T19:05:14.777373Z
24.3,69.0,852,2025-09-19T19:10:18.704579Z
24.4,69.0,897,2025-09-19T19:15:21.451148Z
24.4,69.0,942,2025-09-19T19:20:25.576006Z
24.5,69.0,987,2025-09-19T19:25:28.999991Z
24.6,70.0,1032,2025-09-19T19:30:32.414381Z
24.7,70.0,1076,2025-09-19T19:35:33.048746Z
24.9,70.0,1121,2025-09-19T19:40:35.792500Z
24.3,70.0,1166,2025-09-19T19:45:38.854327Z
24.0,70.0,1211,2025-09-19T19:50:41.345354Z
24.3,70.0,1256,2025-09-19T19:55:43.805064Z
24.9,72.0,1301,2025-09-19T20:00:46.088652Z
25.3,70.0,1346,2025-09-19T20:05:52.612932Z
25.0,70.0,1391,2025-09-19T20:10:54.937464Z
25.6,70.0,1436,2025-09-19T20:15:57.007116Z
25.2,71.0,1481,2025-09-19T20:20:59.374386Z
25.7,71.0,1526,2025-09-19T20:26:01.466089Z
25.4,72.0,1571,2025-09-19T20:31:03.657843Z
25.3,72.0,1616,2025-09-19T20:36:10.021975Z
25.8,71.0,1661,2025-09-19T20:41:12.165042Z
25.0,71.0,1706,2025-09-19T20:46:14.336663Z
25.5,71.0,1751,2025-09-19T20:51:18.604543Z
25.0,71.0,1796,2025-09-19T20:56:20.659044Z
25.3,71.0,1841,2025-09-19T21:01:23.101117Z
25.3,71.0,1886,2025-09-19T21:06:29.299417Z
25.2,72.0,1931,2025-09-19T21:11:31.542459Z
25.3,72.0,1976,2025-09-19T21:16:33.610122Z
25.5,72.0,2021,2025-09-19T21:21:35.688710Z
25.9,72.0,2066,2025-09-19T21:26:37.697671Z
25.0,72.0,2111,2025-09-19T21:31:39.756824Z
25.3,72.0,2156,2025-09-19T21:36:45.992137Z
25.7,72.0,2201,2025-09-19T21:41:48.049908Z
25.7,72.0,2246,2025-09-19T21:46:50.175297Z
25.8,72.0,2291,2025-09-19T21:51:52.156442Z
26.8,72.0,2336,2025-09-19T21:56:54.169732Z
26.1,72.0,2381,2025-09-19T22:01:56.259762Z
26.0,72.0,2426,2025-09-19T22:07:02.492206Z
26.4,72.0,2471,2025-09-19T22:12:04.885931Z
25.0,72.0,2516,2025-09-19T22:17:07.352516Z
26.7,71.0,2561,2025-09-19T22:22:09.469046Z
26.7,71.0,2606,2025-09-19T22:27:11.544518Z
26.8,71.0,2651,2025-09-19T22:32:13.602765Z
26.6,71.0,2696,2025-09-19T22:37:19.960456Z
26.7,71.0,2741,2025-09-19T22:42:22.058827Z
26.9,71.0,2786,2025-09-19T22:47:24.105797Z
26.5,71.0,2831,2025-09-19T22:52:26.138823Z
26.3,71.0,2876,2025-09-19T22:57:28.175914Z
26.5,71.0,2921,2025-09-19T23:02:30.368308Z
26.1,71.0,2966,2025-09-19T23:07:36.772181Z
26.0,72.0,3011,2025-09-19T23:12:39.085586Z
26.8,72.0,3056,2025-09-19T23:17:41.138522Z
26.2,72.0,3101,2025-09-19T23:22:43.213042Z
26.3,72.0,3146,2025-09-19T23:27:45.313791Z
26.9,72.0,3191,2025-09-19T23:32:47.526611Z
26.7,72.0,3236,2025-09-19T23:37:53.772239Z
26.5,72.0,3281,2025-09-19T23:42:55.808931Z
26.4,72.0,3326,2025-09-19T23:47:57.858054Z
26.4,72.0,3371,2025-09-19T23:52:59.897417Z
26.6,72.0,3416,2025-09-19T23:58:01.991383Z
26.8,72.0,3461,2025-09-20T00:03:05.964712Z
26.0,72.0,3506,2025-09-20T00:08:12.270962Z
26.6,72.0,3551,2025-09-20T00:13:14.471204Z
26.7,72.0,3596,2025-09-20T00:18:16.495293Z
26.7,72.0,3641,2025-09-20T00:23:18.515277Z
26.7,72.0,3686,2025-09-20T00:28:20.489725Z
26.0,72.0,3731,2025-09-20T00:33:22.632868Z
